Date,Close/Last,Volume,Open,High,Low
09/03/2020,$407,87596090,$407.23,$431.8,$402
09/02/2020,$447.37,96176130,$478.99,$479.04,$405.1206
09/01/2020,$475.05,90119420,$502.14,$502.49,$470.51
08/31/2020,$498.32,118374400,$444.61,$500.14,$440.11
08/28/2020,$442.68,100405900,$459.024,$463.698,$437.304
08/27/2020,$447.75,118465200,$436.092,$459.12,$428.5
08/26/2020,$430.634,71196900,$412,$433.2,$410.7258
08/25/2020,$404.668,53294450,$394.978,$405.59,$393.6
08/24/2020,$402.84,100318100,$425.255,$425.8,$385.504
08/21/2020,$409.996,107447800,$408.952,$419.098,$405.01
08/20/2020,$400.366,103059000,$372.136,$404.398,$371.412
08/19/2020,$375.706,61026650,$373,$382.2,$368.242
08/18/2020,$377.418,82372450,$379.798,$384.78,$369.022
08/17/2020,$367.128,101211600,$335.4,$369.172,$334.566
08/14/2020,$330.142,62888050,$332.998,$333.76,$325.328
08/13/2020,$324.2,102126550,$322.2,$330.236,$313.452
08/12/2020,$310.952,109494150,$294,$317,$287
08/11/2020,$274.878,43129170,$279.2,$284,$273
08/10/2020,$283.714,37611320,$289.6,$291.5,$277.168
08/07/2020,$290.542,44482100,$299.9074,$299.95,$283.002
08/06/2020,$297.916,29961565,$298.166,$303.462,$295.452
08/05/2020,$297.004,24890075,$298.598,$299.9677,$293.662
08/04/2020,$297.4,42074950,$299.002,$305.482,$292.4
08/03/2020,$297,44046730,$289.84,$301.962,$288.8769
07/31/2020,$286.152,61234800,$303,$303.41,$284.196
07/30/2020,$297.498,38105195,$297.6,$302.648,$294.2
07/29/2020,$299.822,47134465,$300.2,$306.962,$297.4
07/28/2020,$295.298,79043500,$300.8,$312.94,$294.884
07/27/2020,$307.92,80243350,$287,$309.588,$282.6001
07/24/2020,$283.4,96983100,$283.202,$293,$273.308
07/23/2020,$302.614,121642500,$335.79,$337.8,$296.154
07/22/2020,$318.466,70805400,$319.8,$325.284,$312.4
07/21/2020,$313.672,80786400,$327.986,$335,$311.6
07/20/2020,$328.6,85606850,$303.802,$330,$297.6
07/17/2020,$300.168,46649860,$302.69,$307.502,$298
07/16/2020,$300.128,71503950,$295.432,$306.342,$293.2
07/15/2020,$309.202,81839150,$308.6,$310,$291.4
07/14/2020,$303.36,117090700,$311.2,$318,$286.2
07/13/2020,$299.412,194926800,$331.8,$358.998,$294.222
07/10/2020,$308.93,116687750,$279.2,$309.783,$275.202
07/09/2020,$278.856,58588000,$279.398,$281.712,$270.256
07/08/2020,$273.176,81556550,$281,$283.452,$262.268
07/07/2020,$277.972,107448300,$281.002,$285.9,$267.342
07/06/2020,$274.316,102849300,$255.338,$275.558,$253.2088
07/02/2020,$241.732,86250600,$244.296,$245.6,$237.12
07/01/2020,$223.926,66634500,$216.6,$227.066,$216.1
06/30/2020,$215.962,84592500,$201.3,$217.538,$200.746
06/29/2020,$201.87,45132020,$193.802,$202,$189.704
06/26/2020,$191.948,44274540,$198.956,$199,$190.974
06/25/2020,$197.196,46272745,$190.854,$197.196,$187.43
06/24/2020,$192.17,54797950,$198.822,$200.1769,$190.6283
06/23/2020,$200.356,31826355,$199.776,$202.4,$198.802
06/22/2020,$198.864,31811750,$199.99,$201.776,$198.004
06/19/2020,$200.18,43398745,$202.556,$203.194,$198.268
06/18/2020,$200.792,48759680,$200.6,$203.84,$198.8942
06/17/2020,$198.358,49454000,$197.542,$201,$196.5142
06/16/2020,$196.426,70255400,$202.37,$202.576,$192.478
06/15/2020,$198.18,78485900,$183.558,$199.768,$181.7
06/12/2020,$187.056,83816850,$196,$197.596,$182.52
06/11/2020,$194.568,79582400,$198.04,$203.792,$194.4
06/10/2020,$205.01,92817050,$198.376,$205.496,$196.5
06/09/2020,$188.134,56940750,$188.002,$190.888,$184.7862
06/08/2020,$189.984,70873650,$183.8,$190,$181.832
06/05/2020,$177.132,39059585,$175.568,$177.304,$173.24
06/04/2020,$172.876,44438565,$177.976,$179.15,$171.688
06/03/2020,$176.592,39747345,$177.624,$179.588,$176.02
06/02/2020,$176.312,67828000,$178.94,$181.732,$174.2
06/01/2020,$179.62,75426500,$171.6,$179.8,$170.82
05/29/2020,$167,59062450,$161.75,$167,$160.842
05/28/2020,$161.162,36378870,$162.702,$164.95,$160.338
05/27/2020,$164.046,57747650,$164.172,$165.542,$157
05/26/2020,$163.774,40448680,$166.9,$166.92,$163.141
05/22/2020,$163.376,49937375,$164.4348,$166.356,$162.4
05/21/2020,$165.52,61272900,$163.2,$166.5,$159.2
05/20/2020,$163.112,36546355,$164.1,$165.2,$162.36
05/19/2020,$161.602,48182610,$163.034,$164.414,$161.216
05/18/2020,$162.726,58490500,$165.556,$166.944,$160.776
05/15/2020,$159.834,52592150,$158.07,$161.0097,$157.3104
05/14/2020,$160.666,68410950,$156,$160.672,$152.8
05/13/2020,$158.192,95327450,$164.166,$165.2,$152.66
05/12/2020,$161.882,79534550,$165.4,$168.658,$161.6
05/11/2020,$162.258,82598000,$158.102,$164.8,$157
05/08/2020,$163.884,80650450,$158.754,$164.8,$157.402
05/07/2020,$156.008,57638450,$155.442,$159.28,$154.47
05/06/2020,$156.516,55616150,$155.3,$157.96,$152.222
05/05/2020,$153.642,84958300,$157.958,$159.784,$152.436
05/04/2020,$152.238,96185450,$140.2,$152.4,$139.6
05/01/2020,$140.264,162659050,$151,$154.554,$136.608
04/30/2020,$156.376,142359250,$171.038,$173.964,$152.7
04/29/2020,$160.102,81079900,$158.034,$160.64,$156.632
04/28/2020,$153.824,76109800,$159.128,$161,$151.338
04/27/2020,$159.75,103407200,$147.522,$159.898,$147
04/24/2020,$145.03,66188050,$142.162,$146.146,$139.636
04/23/2020,$141.126,66183500,$145.52,$146.8,$140.626
04/22/2020,$146.422,71124150,$140.796,$146.8,$137.742
04/21/2020,$137.344,101045450,$146.024,$150.666,$134.758
04/20/2020,$149.272,73731850,$146.54,$153.114,$142.442
04/17/2020,$150.778,65641150,$154.456,$154.99,$149.532
04/16/2020,$149.042,103289300,$143.388,$151.89,$141.343
04/15/2020,$145.966,117885000,$148.4,$150.626,$142
04/14/2020,$141.978,152882550,$139.794,$148.376,$138.486
04/13/2020,$130.19,112377100,$118.032,$130.4,$116.106
04/09/2020,$114.6,68250000,$112.418,$115.0364,$111.422
04/08/2020,$109.768,63280100,$110.84,$111.4416,$106.666
04/07/2020,$109.09,89598900,$109,$113,$106.468
04/06/2020,$103.248,74509200,$102.24,$104.2,$99.592
04/03/2020,$96.002,112810400,$101.9,$103.098,$93.678
04/02/2020,$90.894,99292150,$96.206,$98.852,$89.28
04/01/2020,$96.312,66765900,$100.8,$102.791,$95.02
03/31/2020,$104.8,88857450,$100.25,$108.592,$99.4
03/30/2020,$100.426,59990350,$102.052,$103.3294,$98.246
